port,header,data_size,bit_start,bit_end,or_80_to_write,multiple,type,parameter_name,parameter_description,group_ name,group_description,category_name,category_description,access,round,coefficient,addition,opt0,val0,opt1,val1,opt2,val2,opt3,val3,opt4,val4,opt5,val5,opt6,val6,opt7,val7,opt8,val8
100,0x00,0,0,0,1,0,hexstring,device_eui,DevEUI,,,lorawan,LoRaWAN Commissioning Registers,R,,1,,,,,,,,,,,,,,,,,,,
100,0x01,0,0,0,1,0,hexstring,app_eui,AppEUI,,,lorawan,LoRaWAN Commissioning Registers,R,,1,,,,,,,,,,,,,,,,,,,
100,0x02,0,0,0,1,0,hexstring,app_key,AppKey,,,lorawan,LoRaWAN Commissioning Registers,R,,1,,,,,,,,,,,,,,,,,,,
100,0x03,0,0,0,1,0,hexstring,device_address,DevAddr,,,lorawan,LoRaWAN Commissioning Registers,R,,1,,,,,,,,,,,,,,,,,,,
100,0x04,0,0,0,1,0,hexstring,network_session_key,NwkSKey,,,lorawan,LoRaWAN Commissioning Registers,R,,1,,,,,,,,,,,,,,,,,,,
100,0x05,0,0,0,1,0,hexstring,app_session_key,AppSKey,,,lorawan,LoRaWAN Commissioning Registers,R,,1,,,,,,,,,,,,,,,,,,,
100,0x10,2,7,7,1,0,unsigned,join_mode,Join Mode,,,loramac,LoRaMAC Configuration,RW,,1,,ABP,0,OTAA,1,,,,,,,,,,,,,,
100,0x11,2,3,3,1,0,unsigned,adr,Unconfirmed/Confirmed UL,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,2,2,1,0,unsigned,duty_cycle,Disable/Enable Duty Cycle,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Disable,0,Enable,1,,,,,,,,,,,,,,
100,0x11,2,1,1,1,0,unsigned,sync_word,Disable/Enable ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Private,0,Public,1,,,,,,,,,,,,,,
100,0x11,2,0,0,1,0,unsigned,confirm_mode,Disable/Enable ADR,loramac_opts,LoRaMAC options,loramac,LoRaMAC Configuration Registers,RW,,1,,Unconfirmed,0,Confirmed,1,,,,,,,,,,,,,,
100,0x12,2,11,8,1,0,unsigned,dr_number,Default DR number and TX power,loramac_dr_tx,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
100,0x12,2,3,0,1,0,unsigned,tx_power,Default DR number and TX power,loramac_dr_tx,DR number and Tx power,loramac,LoRaMAC Configuration Registers,RW,,1,,,,,,,,,,,,,,,,,,,
